study,model_num,accuracy,kappa
elbow,15,0.8041666746139526,0.5872709871948355
wrist,11,0.7723958492279053,0.5288600191366926
shoulder,13,0.734375,0.46819603753910327
forearm,8,0.9226973652839661,0.8305583226602155
hand,2,0.8140624761581421,0.4611659644047544
finger,1,0.7885416746139526,0.5494755093194625
humerus,15,0.938630998134613,0.8769477867780124
