,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
0,0.0021,7.6103e-06,1,286.0,932.0,257.0,445.0,0.6343749761581421,0.5267034769058228,0.3912448585033417,0.44897954744413504
1,0.0021,7.6103e-06,2,362.0,912.0,259.0,387.0,0.6635416746139526,0.5829307436943054,0.48331108689308167,0.5284671161529401
2,0.0021,7.6103e-06,3,356.0,959.0,255.0,350.0,0.6848958134651184,0.5826513767242432,0.5042492747306824,0.5406226035318128
3,0.0021,7.6103e-06,4,383.0,948.0,243.0,346.0,0.6932291388511658,0.6118211150169373,0.5253772139549255,0.5653136727867917
4,0.0021,7.6103e-06,5,401.0,967.0,239.0,313.0,0.7124999761581421,0.6265624761581421,0.5616246461868286,0.5923190240503987
5,0.0021,7.6103e-06,6,420.0,939.0,250.0,311.0,0.707812488079071,0.6268656849861145,0.5745553970336914,0.599571751048049
6,0.0021,7.6103e-06,7,437.0,934.0,248.0,301.0,0.714062511920929,0.6379562020301819,0.5921409130096436,0.614195378494519
7,0.0021,7.6103e-06,8,396.0,997.0,202.0,325.0,0.7255208492279053,0.6622073650360107,0.5492371916770935,0.6004548758188818
8,0.0021,7.6103e-06,9,476.0,925.0,254.0,265.0,0.729687511920929,0.6520547866821289,0.6423751711845398,0.647178754347069
9,0.0021,7.6103e-06,10,447.0,963.0,215.0,295.0,0.734375,0.6752265691757202,0.6024258732795715,0.6367520964801675
10,0.0021,7.6103e-06,11,488.0,919.0,228.0,285.0,0.7328125238418579,0.6815642714500427,0.6313065886497498,0.6554734658784096
11,0.0021,7.6103e-06,12,473.0,941.0,225.0,281.0,0.7364583611488342,0.6776504516601562,0.6273209452629089,0.6515151238332992
12,0.0021,7.6103e-06,13,476.0,999.0,197.0,248.0,0.7682291865348816,0.7072808146476746,0.6574585437774658,0.6814602196455288
13,0.0021,7.6103e-06,14,459.0,989.0,206.0,266.0,0.7541666626930237,0.6902255415916443,0.6331034302711487,0.660431624929465
14,0.0021,7.6103e-06,15,471.0,973.0,208.0,268.0,0.7520833611488342,0.6936671733856201,0.6373477578163147,0.6643159890382416
15,0.0021,7.6103e-06,16,499.0,984.0,183.0,254.0,0.7723958492279053,0.7316715717315674,0.6626825928688049,0.6954704279586789
16,0.0021,7.6103e-06,17,516.0,961.0,202.0,241.0,0.7692708373069763,0.7186629772186279,0.6816380620002747,0.6996610757041031
17,0.0021,7.6103e-06,18,517.0,948.0,206.0,249.0,0.7630208134651184,0.7150760889053345,0.6749347448348999,0.6944257913376859
18,0.0021,7.6103e-06,19,519.0,995.0,190.0,216.0,0.7885416746139526,0.732016921043396,0.7061224579811096,0.7188365074633695
19,0.0021,7.6103e-06,20,508.0,1000.0,178.0,234.0,0.7854166626930237,0.7405247688293457,0.684636116027832,0.7114846062555981
20,0.0031,2.0944e-06,1,359.0,872.0,310.0,379.0,0.6411458253860474,0.5366218090057373,0.48644986748695374,0.5103056379714773
